priority,shipping_cost,customer_name,ship_mode,customer_segment,product_category,product_subcategory,product_container,product_name,country,state_region,order_date,ship_date,quantity,unit_price,discount,sales,profit
Low,0.7,Gail Rankin Cole,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,OIC Thumb-Tacks,United States,District of Columbia,02/02/2015,02/02/2015,38,1.14,0.02,44.85,-0.49
Critical,0.7,Joanna Kenney,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,OIC Thumb-Tacks,United States,Ohio,01/27/2015,01/30/2015,13,1.14,0.06,14.53,-3.782
Critical,0.7,Helen H Heller,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Bagged Rubber Bands,United States,California,04/30/2015,04/30/2015,4,1.26,0.06,5.28,-6.6096
Not Specified,0.7,Sheryl Reese,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,Binder Clips by OIC,United States,Kentucky,06/15/2015,06/17/2015,12,1.48,0,19.32,-203.098
Low,0.7,Matthew Conway,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Binder Clips by OIC,United States,New York,01/03/2015,01/05/2015,6,1.48,0.09,8.95,1.68
Medium,1.29,David Weaver,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Pocket Accent® Highlighters,United States,Utah,04/30/2015,04/30/2015,11,1.6,0.1,16.88,-14.9904
Critical,1.57,Joel Huffman,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,United States,Illinois,01/17/2015,01/19/2015,12,1.68,0.01,20.37,-53.444
High,1.57,Wesley Waller,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,United States,California,05/22/2015,05/23/2015,116,1.68,0.07,186.59,-35.75
Not Specified,1.57,Arlene Long,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,United States,California,02/05/2015,02/06/2015,88,1.68,0.08,148.36,-46.25
High,1.57,Alex Harrell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,United States,Texas,05/22/2015,05/23/2015,29,1.68,0.07,46.65,7.15000000000001
High,1.57,Edna Monroe Talley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,United States,Texas,01/30/2015,01/31/2015,11,1.68,0.05,18.75,-33.34
High,1.57,Pauline Boyette,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,United States,New Jersey,06/17/2015,06/18/2015,11,1.68,0.1,18.71,-11.57
Not Specified,0.7,Danielle Myers,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 308,United States,North Carolina,06/03/2015,06/05/2015,11,1.68,0.03,20.24,-106.421
High,1.57,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,United States,California,01/28/2015,01/30/2015,1,1.68,0.02,2.25,-5.3072
Critical,1,Laurie Petty,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Dustless Chalk Sticks,United States,Florida,03/31/2015,04/02/2015,5,1.68,0.06,8.65,-1319.5
Critical,1,April Henson,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Dustless Chalk Sticks,United States,Maryland,01/12/2015,01/14/2015,8,1.68,0.04,14.18,2.0672
Medium,1.99,Tommy Honeycutt,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,BASF Silver 74 Minute CD-R,United States,Missouri,02/04/2015,02/05/2015,10,1.7,0.07,17.42,-51.42
Not Specified,1.99,Ricky Garner,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,BASF Silver 74 Minute CD-R,United States,Virginia,01/06/2015,01/07/2015,7,1.7,0.06,12.15,80.0712
High,4.08,Joe George,Express Air,Consumer,Furniture,Office Furnishings,Small Pack,Eldon Regeneration Recycled Desk Accessories  Smoke,United States,Louisiana,05/11/2015,05/13/2015,4,1.74,0.09,10.41,608.262
Not Specified,4.08,Kara Allison,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,Eldon Regeneration Recycled Desk Accessories  Smoke,United States,Illinois,01/27/2015,01/28/2015,5,1.74,0.02,10.23,-37.39
Critical,4.08,Jean Khan,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Eldon Regeneration Recycled Desk Accessories  Smoke,United States,California,01/25/2015,01/26/2015,1,1.74,0.06,2.77,-11.0732
Critical,4.08,Ricky W Clements,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Eldon Regeneration Recycled Desk Accessories  Smoke,United States,Alabama,02/23/2015,02/25/2015,16,1.74,0.04,29.08,9.252
Medium,0.7,Randall Montgomery,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,United States,New York,04/20/2015,04/21/2015,17,1.76,0.06,29.57,-1.6524
Critical,0.7,Karen Hendricks,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,United States,Connecticut,04/30/2015,05/02/2015,22,1.76,0.06,39.26,1.2236
Not Specified,0.7,Andrew Levine,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,United States,Pennsylvania,06/11/2015,06/12/2015,71,1.76,0.01,129.72,3.13
Medium,0.7,Marvin Parrott,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,United States,Minnesota,03/15/2015,03/16/2015,4,1.76,0.01,7.2,-1.56
High,0.7,Kenneth Pollock,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 326,United States,Virginia,06/21/2015,06/24/2015,13,1.76,0.09,21.77,-12.278
High,4.86,Michele Bradshaw,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Regeneration Desk Collection,United States,Florida,03/01/2015,03/02/2015,23,1.76,0.08,40.22,235.656
Medium,4.86,Marshall Sutherland,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Regeneration Desk Collection,United States,Alabama,01/17/2015,01/17/2015,15,1.76,0.07,26.01,0.588000000000011
Medium,0.75,Kristine Singleton,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Assorted Color Push Pins,United States,Illinois,01/16/2015,01/17/2015,10,1.81,0.03,19.14,4.2028
Critical,0.75,Billie Fowler,Regular Air,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Metal Folding Chairs  Beige  4/Carton,United States,Texas,01/05/2015,01/06/2015,11,1.81,0.08,19.97,1.3224
Critical,0.83,Tiffany Merrill,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 307,United States,Minnesota,02/14/2015,02/15/2015,22,1.82,0.09,36.82,-6.734
Low,2.58,Kristine Holden,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Super Bands  12/Pack,United States,South Carolina,02/06/2015,02/11/2015,12,1.86,0.09,22.11,-1084.8469632
Low,2.58,Floyd Dale,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,Super Bands  12/Pack,United States,New York,01/17/2015,01/21/2015,9,1.86,0.05,17.61,-66.62
Not Specified,1.49,April Hu,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Staples® General Use 3-Ring Binders,United States,Arizona,01/17/2015,01/18/2015,13,1.88,0,25.39,-15.5595
